Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-01-06T00:08:05.062Z","Included","gemini-3-flash-preview","No","0","47291","69932","2860","120083","0.04"
"2026-01-06T00:06:51.817Z","Included","gemini-3-flash-preview","No","0","76988","0","8871","85859","0.07"
"2026-01-06T00:06:36.660Z","Included","gemini-3-flash-preview","No","0","0","0","0","0","0.00"
"2026-01-06T00:03:06.268Z","Included","gemini-3-flash-preview","No","0","112556","384356","4620","501532","0.09"
"2026-01-06T00:02:45.066Z","Included","gemini-3-flash-preview","No","0","9576","6885","331","16792","0.01"
"2026-01-06T00:01:29.746Z","Included","gemini-3-flash-preview","No","0","21753","179311","334","201398","0.02"
"2026-01-06T00:01:05.618Z","Aborted, Not Charged","gemini-3-flash","No","0","0","0","0","0","0.00"
"2026-01-06T00:00:13.592Z","Included","gemini-3-flash-preview","No","0","15493","40481","1695","57669","0.01"
"2026-01-05T23:59:34.320Z","Included","gemini-3-flash","No","0","65600","375320","5910","446830","0.07"
"2026-01-05T23:57:47.526Z","Included","gemini-3-flash","No","0","66192","580406","5755","652353","0.08"
"2026-01-05T23:56:19.220Z","Included","gemini-3-flash-preview","No","0","158109","1144423","3554","1306086","0.15"
"2026-01-05T23:56:05.360Z","Included","gemini-3-flash","No","0","54050","458684","6896","519630","0.07"
"2026-01-05T23:53:20.572Z","Included","gemini-3-flash","No","0","140620","689301","13722","843643","0.15"
"2026-01-05T23:52:13.085Z","Included","gemini-3-flash-preview","No","0","227024","1281662","9523","1518209","0.21"
"2026-01-05T23:51:10.030Z","Included","gemini-3-flash","No","0","86944","463255","7690","557889","0.09"
"2026-01-05T23:50:08.401Z","Included","gemini-3-flash","No","0","26151","132224","6048","164423","0.04"
"2026-01-05T23:48:57.065Z","Included","gemini-3-flash","No","0","47379","220062","6111","273552","0.05"
"2026-01-05T23:46:47.659Z","Included","gemini-3-flash-preview","No","0","44232","127405","786","172423","0.03"
"2026-01-05T23:26:54.629Z","Included","gemini-3-flash-preview","No","0","98274","642157","9060","749491","0.11"
"2026-01-05T23:24:14.625Z","Included","gemini-3-flash","No","0","46033","227316","6021","279370","0.05"
"2026-01-05T23:07:12.181Z","Included","gemini-3-flash-preview","No","0","10546","203520","722","214788","0.02"
"2026-01-05T23:06:27.390Z","Included","gemini-3-flash-preview","No","0","116672","935900","1888","1054460","0.11"
"2026-01-05T23:06:14.641Z","Included","gemini-3-flash","No","0","0","0","0","0","0.00"
"2026-01-05T23:03:52.526Z","Included","gemini-3-flash-preview","No","0","12042","602380","4053","618475","0.05"
"2026-01-05T23:02:55.604Z","Included","gemini-3-flash-preview","No","0","0","0","0","0","0.00"
